date,portfolio_value,management_fees,target_portfolio_value,client_id,advisor_id
2024-01-01,1250000.00,312.50,1200000.00,1,1
2024-01-01,850000.00,212.50,800000.00,2,2
2024-01-01,425000.00,106.25,450000.00,3,12
2024-01-01,950000.00,237.50,900000.00,4,6
2024-01-01,3200000.00,800.00,3100000.00,5,8
2024-01-01,5800000.00,1450.00,5500000.00,6,8
2024-01-01,750000.00,187.50,720000.00,7,2
2024-01-01,1150000.00,287.50,1100000.00,8,4
2024-01-01,325000.00,81.25,340000.00,9,12
2024-01-01,675000.00,168.75,650000.00,10,6
2024-01-01,12500000.00,3125.00,12000000.00,11,11
2024-01-01,1850000.00,462.50,1800000.00,12,1
2024-01-01,295000.00,73.75,310000.00,13,12
2024-01-01,1425000.00,356.25,1350000.00,14,4
2024-01-01,825000.00,206.25,800000.00,15,10
2024-01-01,485000.00,121.25,500000.00,16,6
2024-01-01,6750000.00,1687.50,6500000.00,17,8
2024-01-01,2150000.00,537.50,2100000.00,18,3
2024-01-01,8950000.00,2237.50,8800000.00,19,11
2024-01-01,385000.00,96.25,400000.00,20,12
2024-01-01,1625000.00,406.25,1550000.00,21,4
2024-01-01,925000.00,231.25,900000.00,22,10
2024-01-01,565000.00,141.25,580000.00,23,6
2024-01-01,2850000.00,712.50,2750000.00,24,1
2024-01-01,415000.00,103.75,430000.00,25,12
2024-01-01,7250000.00,1812.50,7000000.00,26,8
2024-01-01,1750000.00,437.50,1700000.00,27,4
2024-01-01,1125000.00,281.25,1100000.00,28,10
2024-01-01,625000.00,156.25,640000.00,29,6
2024-01-01,15750000.00,3937.50,15200000.00,30,11
2024-01-01,3150000.00,787.50,3050000.00,31,1
2024-01-01,465000.00,116.25,480000.00,32,12
2024-01-01,1875000.00,468.75,1800000.00,33,4
2024-01-01,975000.00,243.75,950000.00,34,10
2024-01-01,535000.00,133.75,550000.00,35,6
2024-01-01,4250000.00,1062.50,4100000.00,36,3
2024-01-01,8750000.00,2187.50,8500000.00,37,8
2024-01-01,525000.00,131.25,540000.00,38,12
2024-01-01,2250000.00,562.50,2150000.00,39,4
2024-01-01,18500000.00,4625.00,18000000.00,40,11
2024-01-01,1375000.00,343.75,1350000.00,41,10
2024-01-01,685000.00,171.25,700000.00,42,6
2024-01-01,3850000.00,962.50,3750000.00,43,1
2024-01-01,595000.00,148.75,610000.00,44,12
2024-01-01,2650000.00,662.50,2550000.00,45,4
2024-01-01,1285000.00,321.25,1250000.00,46,10
2024-01-01,785000.00,196.25,800000.00,47,6
2024-01-01,9850000.00,2462.50,9500000.00,48,8
2024-01-01,4650000.00,1162.50,4500000.00,49,3
2024-01-01,22500000.00,5625.00,22000000.00,50,11
2024-01-02,1255000.00,313.75,1200000.00,1,1
2024-01-02,852125.00,213.03,800000.00,2,2
2024-01-02,426595.00,106.65,450000.00,3,12
2024-01-02,952375.00,238.09,900000.00,4,6
2024-01-02,3216000.00,804.00,3100000.00,5,8
2024-01-02,5829000.00,1457.25,5500000.00,6,8
2024-01-02,751875.00,187.97,720000.00,7,2
2024-01-02,1153450.00,288.36,1100000.00,8,4
2024-01-02,326625.00,81.66,340000.00,9,12
2024-01-02,677025.00,169.26,650000.00,10,6
2024-01-02,12562500.00,3140.63,12000000.00,11,11
2024-01-02,1854625.00,463.66,1800000.00,12,1
2024-01-02,296475.00,74.12,310000.00,13,12
2024-01-02,1428550.00,357.14,1350000.00,14,4
2024-01-02,827062.00,206.77,800000.00,15,10
2024-01-02,486213.00,121.55,500000.00,16,6
2024-01-02,6783750.00,1695.94,6500000.00,17,8
2024-01-02,2156075.00,539.02,2100000.00,18,3
2024-01-02,8994475.00,2248.62,8800000.00,19,11
2024-01-02,386926.00,96.73,400000.00,20,12
2024-01-02,1630625.00,407.66,1550000.00,21,4
2024-01-02,927312.00,231.83,900000.00,22,10
2024-01-02,566695.00,141.67,580000.00,23,6
2024-01-02,2857125.00,714.28,2750000.00,24,1
2024-01-02,416615.00,104.15,430000.00,25,12
2024-01-02,7289250.00,1822.31,7000000.00,26,8
2024-01-02,1756750.00,439.19,1700000.00,27,4
2024-01-02,1128375.00,282.09,1100000.00,28,10
2024-01-02,626562.00,156.64,640000.00,29,6
2024-01-02,15826875.00,3956.72,15200000.00,30,11
2024-01-02,3161475.00,790.37,3050000.00,31,1
2024-01-02,466395.00,116.60,480000.00,32,12
2024-01-02,1881562.00,470.39,1800000.00,33,4
2024-01-02,977437.00,244.36,950000.00,34,10
2024-01-02,536783.00,134.20,550000.00,35,6
2024-01-02,4264250.00,1066.06,4100000.00,36,3
2024-01-02,8793750.00,2198.44,8500000.00,37,8
2024-01-02,526312.00,131.58,540000.00,38,12
2024-01-02,2259000.00,564.75,2150000.00,39,4
2024-01-02,18592500.00,4648.13,18000000.00,40,11
2024-01-02,1378687.00,344.67,1350000.00,41,10
2024-01-02,686742.00,171.69,700000.00,42,6
2024-01-02,3865425.00,966.36,3750000.00,43,1
2024-01-02,596983.00,149.25,610000.00,44,12
2024-01-02,2659275.00,664.82,2550000.00,45,4
2024-01-02,1288712.00,322.18,1250000.00,46,10
2024-01-02,786963.00,196.74,800000.00,47,6
2024-01-02,9898975.00,2474.74,9500000.00,48,8
2024-01-02,4673325.00,1168.33,4500000.00,49,3
2024-01-02,22612500.00,5653.13,22000000.00,50,11
2024-01-03,1248750.00,312.19,1200000.00,1,1
2024-01-03,849575.00,212.39,800000.00,2,2
2024-01-03,424237.00,106.06,450000.00,3,12
2024-01-03,949525.00,237.38,900000.00,4,6
2024-01-03,3196800.00,799.20,3100000.00,5,8
2024-01-03,5796100.00,1449.03,5500000.00,6,8
2024-01-03,749531.00,187.38,720000.00,7,2
2024-01-03,1146885.00,286.72,1100000.00,8,4
2024-01-03,324237.00,81.06,340000.00,9,12
2024-01-03,673358.00,168.34,650000.00,10,6
2024-01-03,12437500.00,3109.38,12000000.00,11,11
2024-01-03,1843462.00,460.87,1800000.00,12,1
2024-01-03,294057.00,73.51,310000.00,13,12
2024-01-03,1421287.00,355.32,1350000.00,14,4
2024-01-03,823649.00,205.91,800000.00,15,10
2024-01-03,483728.00,120.93,500000.00,16,6
2024-01-03,6716625.00,1679.16,6500000.00,17,8
2024-01-03,2145462.00,536.37,2100000.00,18,3
2024-01-03,8906552.00,2226.64,8800000.00,19,11
2024-01-03,384691.00,96.17,400000.00,20,12
2024-01-03,1619875.00,404.97,1550000.00,21,4
2024-01-03,922987.00,230.75,900000.00,22,10
2024-01-03,563726.00,140.93,580000.00,23,6
2024-01-03,2842787.00,710.70,2750000.00,24,1
2024-01-03,414237.00,103.56,430000.00,25,12
2024-01-03,7217750.00,1804.44,7000000.00,26,8
2024-01-03,1746825.00,436.71,1700000.00,27,4
2024-01-03,1121287.00,280.32,1100000.00,28,10
2024-01-03,623977.00,155.99,640000.00,29,6
2024-01-03,15673125.00,3918.28,15200000.00,30,11
2024-01-03,3144862.00,786.22,3050000.00,31,1
2024-01-03,464057.00,116.01,480000.00,32,12
2024-01-03,1868287.00,467.07,1800000.00,33,4
2024-01-03,972649.00,243.16,950000.00,34,10
2024-01-03,534726.00,133.68,550000.00,35,6
2024-01-03,4235462.00,1058.87,4100000.00,36,3
2024-01-03,8706625.00,2176.66,8500000.00,37,8
2024-01-03,523691.00,130.92,540000.00,38,12
2024-01-03,2241450.00,560.36,2150000.00,39,4
2024-01-03,18407500.00,4601.88,18000000.00,40,11
2024-01-03,1372162.00,343.04,1350000.00,41,10
2024-01-03,683483.00,170.87,700000.00,42,6
2024-01-03,3835387.00,958.85,3750000.00,43,1
2024-01-03,594057.00,148.51,610000.00,44,12
2024-01-03,2641287.00,660.32,2550000.00,45,4
2024-01-03,1282162.00,320.54,1250000.00,46,10
2024-01-03,783726.00,195.93,800000.00,47,6
2024-01-03,9801462.00,2450.37,9500000.00,48,8
2024-01-03,4635887.00,1158.97,4500000.00,49,3
2024-01-03,22387500.00,5596.88,22000000.00,50,11
2024-01-04,1255000.00,313.75,1200000.00,1,1
2024-01-04,853400.00,213.35,800000.00,2,2
2024-01-04,427125.00,106.78,450000.00,3,12
2024-01-04,953800.00,238.45,900000.00,4,6
2024-01-04,3216000.00,804.00,3100000.00,5,8
2024-01-04,5829000.00,1457.25,5500000.00,6,8
2024-01-04,751875.00,187.97,720000.00,7,2
2024-01-04,1153450.00,288.36,1100000.00,8,4
2024-01-04,326625.00,81.66,340000.00,9,12
2024-01-04,677025.00,169.26,650000.00,10,6
2024-01-04,12562500.00,3140.63,12000000.00,11,11
2024-01-04,1854625.00,463.66,1800000.00,12,1
2024-01-04,296475.00,74.12,310000.00,13,12
2024-01-04,1428550.00,357.14,1350000.00,14,4
2024-01-04,827062.00,206.77,800000.00,15,10
2024-01-04,486213.00,121.55,500000.00,16,6
2024-01-04,6783750.00,1695.94,6500000.00,17,8
2024-01-04,2156075.00,539.02,2100000.00,18,3
2024-01-04,8994475.00,2248.62,8800000.00,19,11
2024-01-04,386926.00,96.73,400000.00,20,12
2024-01-04,1630625.00,407.66,1550000.00,21,4
2024-01-04,927312.00,231.83,900000.00,22,10
2024-01-04,566695.00,141.67,580000.00,23,6
2024-01-04,2857125.00,714.28,2750000.00,24,1
2024-01-04,416615.00,104.15,430000.00,25,12
2024-01-04,7289250.00,1822.31,7000000.00,26,8
2024-01-04,1756750.00,439.19,1700000.00,27,4
2024-01-04,1128375.00,282.09,1100000.00,28,10
2024-01-04,626562.00,156.64,640000.00,29,6
2024-01-04,15826875.00,3956.72,15200000.00,30,11
2024-01-04,3161475.00,790.37,3050000.00,31,1
2024-01-04,466395.00,116.60,480000.00,32,12
2024-01-04,1881562.00,470.39,1800000.00,33,4
2024-01-04,977437.00,244.36,950000.00,34,10
2024-01-04,536783.00,134.20,550000.00,35,6
2024-01-04,4264250.00,1066.06,4100000.00,36,3
2024-01-04,8793750.00,2198.44,8500000.00,37,8
2024-01-04,526312.00,131.58,540000.00,38,12
2024-01-04,2259000.00,564.75,2150000.00,39,4
2024-01-04,18592500.00,4648.13,18000000.00,40,11
2024-01-04,1378687.00,344.67,1350000.00,41,10
2024-01-04,686742.00,171.69,700000.00,42,6
2024-01-04,3865425.00,966.36,3750000.00,43,1
2024-01-04,596983.00,149.25,610000.00,44,12
2024-01-04,2659275.00,664.82,2550000.00,45,4
2024-01-04,1288712.00,322.18,1250000.00,46,10
2024-01-04,786963.00,196.74,800000.00,47,6
2024-01-04,9898975.00,2474.74,9500000.00,48,8
2024-01-04,4673325.00,1168.33,4500000.00,49,3
2024-01-04,22612500.00,5653.13,22000000.00,50,11
2024-01-05,1260000.00,315.00,1200000.00,1,1
2024-01-05,856000.00,214.00,800000.00,2,2
2024-01-05,428000.00,107.00,450000.00,3,12
2024-01-05,956000.00,239.00,900000.00,4,6
2024-01-05,3232000.00,808.00,3100000.00,5,8
2024-01-05,5856000.00,1464.00,5500000.00,6,8
2024-01-05,754000.00,188.50,720000.00,7,2
2024-01-05,1158000.00,289.50,1100000.00,8,4
2024-01-05,328000.00,82.00,340000.00,9,12
2024-01-05,680000.00,170.00,650000.00,10,6
2024-01-05,12625000.00,3156.25,12000000.00,11,11
2024-01-05,1862000.00,465.50,1800000.00,12,1
2024-01-05,298000.00,74.50,310000.00,13,12
2024-01-05,1435000.00,358.75,1350000.00,14,4
2024-01-05,832000.00,208.00,800000.00,15,10
2024-01-05,488000.00,122.00,500000.00,16,6
2024-01-05,6825000.00,1706.25,6500000.00,17,8
2024-01-05,2167000.00,541.75,2100000.00,18,3
2024-01-05,9040000.00,2260.00,8800000.00,19,11
2024-01-05,388000.00,97.00,400000.00,20,12
2024-01-05,1638000.00,409.50,1550000.00,21,4
2024-01-05,932000.00,233.00,900000.00,22,10
2024-01-05,568000.00,142.00,580000.00,23,6
2024-01-05,2870000.00,717.50,2750000.00,24,1
2024-01-05,418000.00,104.50,430000.00,25,12
2024-01-05,7330000.00,1832.50,7000000.00,26,8
2024-01-05,1765000.00,441.25,1700000.00,27,4
2024-01-05,1133000.00,283.25,1100000.00,28,10
2024-01-05,628000.00,157.00,640000.00,29,6
2024-01-05,15900000.00,3975.00,15200000.00,30,11
2024-01-05,3178000.00,794.50,3050000.00,31,1
2024-01-05,468000.00,117.00,480000.00,32,12
2024-01-05,1890000.00,472.50,1800000.00,33,4
2024-01-05,982000.00,245.50,950000.00,34,10
2024-01-05,538000.00,134.50,550000.00,35,6
2024-01-05,4285000.00,1071.25,4100000.00,36,3
2024-01-05,8850000.00,2212.50,8500000.00,37,8
2024-01-05,528000.00,132.00,540000.00,38,12
2024-01-05,2268000.00,567.00,2150000.00,39,4
2024-01-05,18700000.00,4675.00,18000000.00,40,11
2024-01-05,1385000.00,346.25,1350000.00,41,10
2024-01-05,688000.00,172.00,700000.00,42,6
2024-01-05,3880000.00,970.00,3750000.00,43,1
2024-01-05,598000.00,149.50,610000.00,44,12
2024-01-05,2670000.00,667.50,2550000.00,45,4
2024-01-05,1295000.00,323.75,1250000.00,46,10
2024-01-05,788000.00,197.00,800000.00,47,6
2024-01-05,9950000.00,2487.50,9500000.00,48,8
2024-01-05,4690000.00,1172.50,4500000.00,49,3
2024-01-05,22750000.00,5687.50,22000000.00,50,11
2024-01-08,1263750.00,315.94,1200000.00,1,1
2024-01-08,858550.00,214.64,800000.00,2,2
2024-01-08,429463.00,107.37,450000.00,3,12
2024-01-08,958850.00,239.71,900000.00,4,6
2024-01-08,3243200.00,810.80,3100000.00,5,8
2024-01-08,5883900.00,1470.98,5500000.00,6,8
2024-01-08,756381.00,189.10,720000.00,7,2
2024-01-08,1162035.00,290.51,1100000.00,8,4
2024-01-08,329463.00,82.37,340000.00,9,12
2024-01-08,682775.00,170.69,650000.00,10,6
2024-01-08,12656250.00,3164.06,12000000.00,11,11
2024-01-08,1868881.00,467.22,1800000.00,12,1
2024-01-08,299463.00,74.87,310000.00,13,12
2024-01-08,1440212.00,360.05,1350000.00,14,4
2024-01-08,835181.00,208.80,800000.00,15,10
2024-01-08,489463.00,122.37,500000.00,16,6
2024-01-08,6858187.00,1714.55,6500000.00,17,8
2024-01-08,2173881.00,543.47,2100000.00,18,3
2024-01-08,9072100.00,2268.03,8800000.00,19,11
2024-01-08,389463.00,97.37,400000.00,20,12
2024-01-08,1645212.00,411.30,1550000.00,21,4
2024-01-08,936181.00,234.05,900000.00,22,10
2024-01-08,570463.00,142.62,580000.00,23,6
2024-01-08,2883562.00,720.89,2750000.00,24,1
2024-01-08,419463.00,104.87,430000.00,25,12
2024-01-08,7361687.00,1840.42,7000000.00,26,8
2024-01-08,1771212.00,442.80,1700000.00,27,4
2024-01-08,1137681.00,284.42,1100000.00,28,10
2024-01-08,630463.00,157.62,640000.00,29,6
2024-01-08,15954375.00,3988.59,15200000.00,30,11
2024-01-08,3191881.00,797.97,3050000.00,31,1
2024-01-08,469463.00,117.37,480000.00,32,12
2024-01-08,1897212.00,474.30,1800000.00,33,4
2024-01-08,986181.00,246.55,950000.00,34,10
2024-01-08,540463.00,135.12,550000.00,35,6
2024-01-08,4302187.00,1075.55,4100000.00,36,3
2024-01-08,8891687.00,2222.92,8500000.00,37,8
2024-01-08,530463.00,132.62,540000.00,38,12
2024-01-08,2280100.00,570.03,2150000.00,39,4
2024-01-08,18781875.00,4695.47,18000000.00,40,11
2024-01-08,1391681.00,347.92,1350000.00,41,10
2024-01-08,691463.00,172.87,700000.00,42,6
2024-01-08,3900562.00,975.14,3750000.00,43,1
2024-01-08,600463.00,150.12,610000.00,44,12
2024-01-08,2685681.00,671.42,2550000.00,45,4
2024-01-08,1301681.00,325.42,1250000.00,46,10
2024-01-08,791463.00,197.87,800000.00,47,6
2024-01-08,10005562.00,2501.39,9500000.00,48,8
2024-01-08,4714812.00,1178.70,4500000.00,49,3
2024-01-08,22881875.00,5720.47,22000000.00,50,11
2024-01-09,1267500.00,316.88,1200000.00,1,1
2024-01-09,861100.00,215.28,800000.00,2,2
2024-01-09,430925.00,107.73,450000.00,3,12
2024-01-09,961700.00,240.43,900000.00,4,6
2024-01-09,3254400.00,813.60,3100000.00,5,8
2024-01-09,5911800.00,1477.95,5500000.00,6,8
2024-01-09,758762.00,189.69,720000.00,7,2
2024-01-09,1166070.00,291.52,1100000.00,8,4
2024-01-09,330925.00,82.73,340000.00,9,12
2024-01-09,685550.00,171.39,650000.00,10,6
2024-01-09,12687500.00,3171.88,12000000.00,11,11
2024-01-09,1875762.00,468.94,1800000.00,12,1
2024-01-09,300925.00,75.23,310000.00,13,12
2024-01-09,1445425.00,361.36,1350000.00,14,4
2024-01-09,838362.00,209.59,800000.00,15,10
2024-01-09,490925.00,122.73,500000.00,16,6
2024-01-09,6891375.00,1722.84,6500000.00,17,8
2024-01-09,2180762.00,545.19,2100000.00,18,3
2024-01-09,9104200.00,2276.05,8800000.00,19,11
2024-01-09,390925.00,97.73,400000.00,20,12
2024-01-09,1652425.00,413.11,1550000.00,21,4
2024-01-09,940362.00,235.09,900000.00,22,10
2024-01-09,572925.00,143.23,580000.00,23,6
2024-01-09,2897125.00,724.28,2750000.00,24,1
2024-01-09,420925.00,105.23,430000.00,25,12
2024-01-09,7393375.00,1848.34,7000000.00,26,8
2024-01-09,1777425.00,444.36,1700000.00,27,4
2024-01-09,1142362.00,285.59,1100000.00,28,10
2024-01-09,632925.00,158.23,640000.00,29,6
2024-01-09,16008750.00,4002.19,15200000.00,30,11
2024-01-09,3205762.00,801.44,3050000.00,31,1
2024-01-09,470925.00,117.73,480000.00,32,12
2024-01-09,1904425.00,476.11,1800000.00,33,4
2024-01-09,990362.00,247.59,950000.00,34,10
2024-01-09,542925.00,135.73,550000.00,35,6
2024-01-09,4319375.00,1079.84,4100000.00,36,3
2024-01-09,8933375.00,2233.34,8500000.00,37,8
2024-01-09,532925.00,133.23,540000.00,38,12
2024-01-09,2292200.00,573.05,2150000.00,39,4
2024-01-09,18863750.00,4715.94,18000000.00,40,11
2024-01-09,1398362.00,349.59,1350000.00,41,10
2024-01-09,694925.00,173.73,700000.00,42,6
2024-01-09,3921125.00,980.28,3750000.00,43,1
2024-01-09,602925.00,150.73,610000.00,44,12
2024-01-09,2701362.00,675.34,2550000.00,45,4
2024-01-09,1308362.00,327.09,1250000.00,46,10
2024-01-09,794925.00,198.73,800000.00,47,6
2024-01-09,10061125.00,2515.28,9500000.00,48,8
2024-01-09,4739625.00,1184.91,4500000.00,49,3
2024-01-09,23013750.00,5753.44,22000000.00,50,11
2024-01-10,1271250.00,317.81,1200000.00,1,1
2024-01-10,863650.00,215.91,800000.00,2,2
2024-01-10,432388.00,108.10,450000.00,3,12
2024-01-10,964550.00,241.14,900000.00,4,6
2024-01-10,3265600.00,816.40,3100000.00,5,8
2024-01-10,5939700.00,1484.93,5500000.00,6,8
2024-01-10,761144.00,190.29,720000.00,7,2
2024-01-10,1170105.00,292.53,1100000.00,8,4
2024-01-10,332388.00,83.10,340000.00,9,12
2024-01-10,688325.00,172.08,650000.00,10,6
2024-01-10,12718750.00,3179.69,12000000.00,11,11
2024-01-10,1882644.00,470.66,1800000.00,12,1
2024-01-10,302388.00,75.60,310000.00,13,12
2024-01-10,1450637.00,362.66,1350000.00,14,4
2024-01-10,841544.00,210.39,800000.00,15,10
2024-01-10,492388.00,123.10,500000.00,16,6
2024-01-10,6924562.00,1731.14,6500000.00,17,8
2024-01-10,2187644.00,546.91,2100000.00,18,3
2024-01-10,9136300.00,2284.08,8800000.00,19,11
2024-01-10,392388.00,98.10,400000.00,20,12
2024-01-10,1659637.00,414.91,1550000.00,21,4
2024-01-10,944544.00,236.14,900000.00,22,10
2024-01-10,575388.00,143.85,580000.00,23,6
2024-01-10,2910687.00,727.67,2750000.00,24,1
2024-01-10,422388.00,105.60,430000.00,25,12
2024-01-10,7425062.00,1856.27,7000000.00,26,8
2024-01-10,1783637.00,445.91,1700000.00,27,4
2024-01-10,1147044.00,286.76,1100000.00,28,10
2024-01-10,635388.00,158.85,640000.00,29,6
2024-01-10,16063125.00,4015.78,15200000.00,30,11
2024-01-10,3219644.00,804.91,3050000.00,31,1
2024-01-10,472388.00,118.10,480000.00,32,12
2024-01-10,1911637.00,477.91,1800000.00,33,4
2024-01-10,994544.00,248.64,950000.00,34,10
2024-01-10,545388.00,136.35,550000.00,35,6
2024-01-10,4336562.00,1084.14,4100000.00,36,3
2024-01-10,8975062.00,2243.77,8500000.00,37,8
2024-01-10,535388.00,133.85,540000.00,38,12
2024-01-10,2304300.00,576.08,2150000.00,39,4
2024-01-10,18945625.00,4736.41,18000000.00,40,11
2024-01-10,1405044.00,351.26,1350000.00,41,10
2024-01-10,698388.00,174.60,700000.00,42,6
2024-01-10,3941687.00,985.42,3750000.00,43,1
2024-01-10,605388.00,151.35,610000.00,44,12
2024-01-10,2717044.00,679.26,2550000.00,45,4
2024-01-10,1315044.00,328.76,1250000.00,46,10
2024-01-10,798388.00,199.60,800000.00,47,6
2024-01-10,10116687.00,2529.17,9500000.00,48,8
2024-01-10,4764437.00,1191.11,4500000.00,49,3
2024-01-10,23145625.00,5786.41,22000000.00,50,11
2024-02-01,1285000.00,321.25,1220000.00,1,1
2024-02-01,872000.00,218.00,810000.00,2,2
2024-02-01,438000.00,109.50,455000.00,3,12
2024-02-01,974000.00,243.50,910000.00,4,6
2024-02-01,3296000.00,824.00,3130000.00,5,8
2024-02-01,6032000.00,1508.00,5610000.00,6,8
2024-02-01,768000.00,192.00,732000.00,7,2
2024-02-01,1182000.00,295.50,1110000.00,8,4
2024-02-01,336000.00,84.00,345000.00,9,12
2024-02-01,696000.00,174.00,658000.00,10,6
2024-02-01,12850000.00,3212.50,12120000.00,11,11
2024-02-01,1897000.00,474.25,1818000.00,12,1
2024-02-01,306000.00,76.50,314000.00,13,12
2024-02-01,1467000.00,366.75,1365000.00,14,4
2024-02-01,852000.00,213.00,808000.00,15,10
2024-02-01,498000.00,124.50,505000.00,16,6
2024-02-01,7020000.00,1755.00,6630000.00,17,8
2024-02-01,2209000.00,552.25,2121000.00,18,3
2024-02-01,9256000.00,2314.00,8928000.00,19,11
2024-02-01,396000.00,99.00,404000.00,20,12
2024-02-01,1677000.00,419.25,1565500.00,21,4
2024-02-01,954000.00,238.50,909000.00,22,10
2024-02-01,582000.00,145.50,586600.00,23,6
2024-02-01,2940000.00,735.00,2782500.00,24,1
2024-02-01,426000.00,106.50,434500.00,25,12
2024-02-01,7515000.00,1878.75,7070000.00,26,8
2024-02-01,1803000.00,450.75,1717000.00,27,4
2024-02-01,1158000.00,289.50,1111000.00,28,10
2024-02-01,642000.00,160.50,646400.00,29,6
2024-02-01,16245000.00,4061.25,15356000.00,30,11
2024-02-01,3258000.00,814.50,3080500.00,31,1
2024-02-01,478000.00,119.50,484800.00,32,12
2024-02-01,1933000.00,483.25,1818000.00,33,4
2024-02-01,1004000.00,251.00,959500.00,34,10
2024-02-01,552000.00,138.00,555500.00,35,6
2024-02-01,4389000.00,1097.25,4141000.00,36,3
2024-02-01,9135000.00,2283.75,8585000.00,37,8
2024-02-01,542000.00,135.50,545400.00,38,12
2024-02-01,2328000.00,582.00,2171500.00,39,4
2024-02-01,19165000.00,4791.25,18180000.00,40,11
2024-02-01,1419000.00,354.75,1363500.00,41,10
2024-02-01,706000.00,176.50,707000.00,42,6
2024-02-01,3982000.00,995.50,3787500.00,43,1
2024-02-01,612000.00,153.00,616100.00,44,12
2024-02-01,2748000.00,687.00,2575500.00,45,4
2024-02-01,1329000.00,332.25,1262500.00,46,10
2024-02-01,808000.00,202.00,808000.00,47,6
2024-02-01,10245000.00,2561.25,9595000.00,48,8
2024-02-01,4819000.00,1204.75,4545000.00,49,3
2024-02-01,23415000.00,5853.75,22220000.00,50,11 